wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
F0	F5	800.0	0.6	14.918	14.269	13.336	12.888	14.855	14.554	13.403	12.805	1.536	-0.265	-	0.124	
F5	F0	800.0	0.6	14.918	14.269	13.336	12.888	14.855	14.554	13.403	12.805	1.536	-0.265	-	0.124	
F0	G0	700.0	0.6	14.918	14.269	13.336	12.888	14.823	14.523	13.365	12.761	1.535	-0.25	-	0.126	
G0	F0	700.0	0.6	14.918	14.269	13.336	12.888	14.823	14.523	13.365	12.761	1.535	-0.25	-	0.126	
F5	F5	800.0	0.5	14.918	14.269	13.336	12.888	14.918	14.617	13.487	12.911	1.536	-0.309	-	0.131	
F0	F0	900.0	0.6	14.918	14.269	13.336	12.888	14.748	14.504	13.395	12.82	1.488	-0.252	-	0.133	
F0	F5	900.0	0.5	14.918	14.269	13.336	12.888	14.626	14.446	13.395	12.858	1.435	-0.261	-	0.14	
F5	F0	900.0	0.5	14.918	14.269	13.336	12.888	14.626	14.446	13.395	12.858	1.435	-0.261	-	0.14	
A0	F5	1100.0	0.9	14.918	14.269	13.336	12.888	14.88	14.582	13.371	12.71	1.534	-0.138	-	0.141	
F5	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.88	14.582	13.371	12.71	1.534	-0.138	-	0.141	
F0	G0	800.0	0.5	14.918	14.269	13.336	12.888	14.628	14.449	13.392	12.848	1.434	-0.245	-	0.142	
G0	F0	800.0	0.5	14.918	14.269	13.336	12.888	14.628	14.449	13.392	12.848	1.434	-0.245	-	0.142	
A0	G0	1100.0	0.9	14.918	14.269	13.336	12.888	14.913	14.629	13.428	12.773	1.522	-0.135	-	0.143	
G0	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.913	14.629	13.428	12.773	1.522	-0.135	-	0.143	
A0	K2	1100.0	0.9	14.918	14.269	13.336	12.888	14.925	14.651	13.461	12.813	1.513	-0.138	-	0.147	
K2	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.925	14.651	13.461	12.813	1.513	-0.138	-	0.147	
F0	F0	800.0	0.7	14.918	14.269	13.336	12.888	14.978	14.612	13.403	12.767	1.59	-0.258	-	0.148	
F0	F0	1000.0	0.5	14.918	14.269	13.336	12.888	14.492	14.369	13.361	12.846	1.388	-0.248	-	0.148	
F0	M4	700.0	0.5	14.918	14.269	13.336	12.888	14.47	14.347	13.338	12.823	1.388	-0.247	-	0.148	
M4	F0	700.0	0.5	14.918	14.269	13.336	12.888	14.47	14.347	13.338	12.823	1.388	-0.247	-	0.148	
A0	K5	1100.0	0.9	14.918	14.269	13.336	12.888	14.927	14.655	13.468	12.821	1.511	-0.139	-	0.149	
K5	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.927	14.655	13.468	12.821	1.511	-0.139	-	0.149	
A0	M4	1100.0	0.9	14.918	14.269	13.336	12.888	14.928	14.658	13.474	12.829	1.51	-0.143	-	0.149	
M4	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.928	14.658	13.474	12.829	1.51	-0.143	-	0.149	
A0	M2	1100.0	0.9	14.918	14.269	13.336	12.888	14.928	14.658	13.473	12.829	1.51	-0.142	-	0.149	
M2	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.928	14.658	13.473	12.829	1.51	-0.142	-	0.149	
F0	M2	700.0	0.5	14.918	14.269	13.336	12.888	14.47	14.346	13.336	12.819	1.388	-0.245	-	0.149	
M2	F0	700.0	0.5	14.918	14.269	13.336	12.888	14.47	14.346	13.336	12.819	1.388	-0.245	-	0.149	
A0	M0	1100.0	0.9	14.918	14.269	13.336	12.888	14.927	14.657	13.471	12.826	1.51	-0.141	-	0.149	
M0	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.927	14.657	13.471	12.826	1.51	-0.141	-	0.149	
F0	M0	700.0	0.5	14.918	14.269	13.336	12.888	14.468	14.341	13.325	12.804	1.391	-0.239	-	0.154	
M0	F0	700.0	0.5	14.918	14.269	13.336	12.888	14.468	14.341	13.325	12.804	1.391	-0.239	-	0.154	
A0	F0	1300.0	0.8	14.918	14.269	13.336	12.888	14.698	14.514	13.399	12.798	1.439	-0.139	-	0.154	
F0	A0	1300.0	0.8	14.918	14.269	13.336	12.888	14.698	14.514	13.399	12.798	1.439	-0.139	-	0.154	
A0	F5	1300.0	0.8	14.918	14.269	13.336	12.888	14.757	14.582	13.471	12.871	1.431	-0.132	-	0.156	
F5	A0	1300.0	0.8	14.918	14.269	13.336	12.888	14.757	14.582	13.471	12.871	1.431	-0.132	-	0.156	
A0	F0	1100.0	0.9	14.918	14.269	13.336	12.888	14.821	14.514	13.299	12.638	1.541	-0.146	-	0.157	
F0	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.821	14.514	13.299	12.638	1.541	-0.146	-	0.157	
F5	K2	600.0	0.5	14.918	14.269	13.336	12.888	14.989	14.657	13.497	12.902	1.562	-0.302	-	0.158	
K2	F5	600.0	0.5	14.918	14.269	13.336	12.888	14.989	14.657	13.497	12.902	1.562	-0.302	-	0.158	
A0	G0	1200.0	0.8	14.918	14.269	13.336	12.888	14.617	14.455	13.354	12.76	1.42	-0.128	-	0.158	
G0	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.617	14.455	13.354	12.76	1.42	-0.128	-	0.158	
A0	M4	1200.0	0.8	14.918	14.269	13.336	12.888	14.631	14.484	13.399	12.816	1.408	-0.137	-	0.159	
M4	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.631	14.484	13.399	12.816	1.408	-0.137	-	0.159	
A0	M2	1200.0	0.8	14.918	14.269	13.336	12.888	14.631	14.484	13.399	12.815	1.408	-0.136	-	0.159	
M2	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.631	14.484	13.399	12.815	1.408	-0.136	-	0.159	
A0	K2	1200.0	0.8	14.918	14.269	13.336	12.888	14.628	14.477	13.387	12.799	1.411	-0.132	-	0.159	
K2	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.628	14.477	13.387	12.799	1.411	-0.132	-	0.159	
A0	M0	1200.0	0.8	14.918	14.269	13.336	12.888	14.631	14.483	13.397	12.812	1.408	-0.135	-	0.159	
M0	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.631	14.483	13.397	12.812	1.408	-0.135	-	0.159	
A0	K5	1200.0	0.8	14.918	14.269	13.336	12.888	14.63	14.481	13.394	12.808	1.409	-0.133	-	0.159	
K5	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.63	14.481	13.394	12.808	1.409	-0.133	-	0.159	
F0	G0	600.0	0.7	14.918	14.269	13.336	12.888	14.973	14.551	13.293	12.628	1.637	-0.257	-	0.16	
G0	F0	600.0	0.7	14.918	14.269	13.336	12.888	14.973	14.551	13.293	12.628	1.637	-0.257	-	0.16	
F0	K5	700.0	0.5	14.918	14.269	13.336	12.888	14.463	14.33	13.308	12.782	1.396	-0.236	-	0.163	
K5	F0	700.0	0.5	14.918	14.269	13.336	12.888	14.463	14.33	13.308	12.782	1.396	-0.236	-	0.163	
B8	M4	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.325	12.676	1.469	-0.082	-	0.163	
M4	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.325	12.676	1.469	-0.082	-	0.163	
B8	M2	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.325	12.676	1.469	-0.082	-	0.163	
M2	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.325	12.676	1.469	-0.082	-	0.163	
B8	M0	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.324	12.674	1.469	-0.081	-	0.163	
M0	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.324	12.674	1.469	-0.081	-	0.163	
B8	K5	1300.0	1.0	14.918	14.269	13.336	12.888	14.718	14.497	13.323	12.672	1.47	-0.08	-	0.164	
K5	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.718	14.497	13.323	12.672	1.47	-0.08	-	0.164	
